date_key,year,quarter,month,month_name,week_of_year,day_of_month,day_name,year_quarter,year_month
2014-03-30 00:00:00,2014,1,3,March,13,30,Sunday,2014-Q1,2014-03
2014-03-31 00:00:00,2014,1,3,March,14,31,Monday,2014-Q1,2014-03
2014-04-01 00:00:00,2014,2,4,April,14,1,Tuesday,2014-Q2,2014-04
2014-04-02 00:00:00,2014,2,4,April,14,2,Wednesday,2014-Q2,2014-04
2014-04-03 00:00:00,2014,2,4,April,14,3,Thursday,2014-Q2,2014-04
2014-04-04 00:00:00,2014,2,4,April,14,4,Friday,2014-Q2,2014-04
2014-04-05 00:00:00,2014,2,4,April,14,5,Saturday,2014-Q2,2014-04
2014-04-06 00:00:00,2014,2,4,April,14,6,Sunday,2014-Q2,2014-04
2014-04-07 00:00:00,2014,2,4,April,15,7,Monday,2014-Q2,2014-04
2014-04-08 00:00:00,2014,2,4,April,15,8,Tuesday,2014-Q2,2014-04
2014-04-11 00:00:00,2014,2,4,April,15,11,Friday,2014-Q2,2014-04
2014-04-12 00:00:00,2014,2,4,April,15,12,Saturday,2014-Q2,2014-04
2014-04-13 00:00:00,2014,2,4,April,15,13,Sunday,2014-Q2,2014-04
2014-04-15 00:00:00,2014,2,4,April,16,15,Tuesday,2014-Q2,2014-04
2014-04-16 00:00:00,2014,2,4,April,16,16,Wednesday,2014-Q2,2014-04
2014-04-18 00:00:00,2014,2,4,April,16,18,Friday,2014-Q2,2014-04
2014-04-19 00:00:00,2014,2,4,April,16,19,Saturday,2014-Q2,2014-04
2014-04-20 00:00:00,2014,2,4,April,16,20,Sunday,2014-Q2,2014-04
2014-04-21 00:00:00,2014,2,4,April,17,21,Monday,2014-Q2,2014-04
2014-04-22 00:00:00,2014,2,4,April,17,22,Tuesday,2014-Q2,2014-04
2014-04-23 00:00:00,2014,2,4,April,17,23,Wednesday,2014-Q2,2014-04
2014-04-25 00:00:00,2014,2,4,April,17,25,Friday,2014-Q2,2014-04
2014-04-26 00:00:00,2014,2,4,April,17,26,Saturday,2014-Q2,2014-04
2014-04-28 00:00:00,2014,2,4,April,18,28,Monday,2014-Q2,2014-04
2014-04-29 00:00:00,2014,2,4,April,18,29,Tuesday,2014-Q2,2014-04
2014-04-30 00:00:00,2014,2,4,April,18,30,Wednesday,2014-Q2,2014-04
2014-05-02 00:00:00,2014,2,5,May,18,2,Friday,2014-Q2,2014-05
2014-05-03 00:00:00,2014,2,5,May,18,3,Saturday,2014-Q2,2014-05
2014-05-04 00:00:00,2014,2,5,May,18,4,Sunday,2014-Q2,2014-05
2014-05-05 00:00:00,2014,2,5,May,19,5,Monday,2014-Q2,2014-05
2014-05-06 00:00:00,2014,2,5,May,19,6,Tuesday,2014-Q2,2014-05
2014-05-07 00:00:00,2014,2,5,May,19,7,Wednesday,2014-Q2,2014-05
